http://www.xpgamesaves.com/topic/101174-dark-souls-2-item-hex-ids-thread/ password--mrantifun.net
Items:
 
Smooth & Silky Stone    03085E00
Mastodon Halberd        31E570
Blue Knight's Halberd        320C80
Dragonrider's Halberd        323390
Black Knight Halberd        325AA0
Syan's Halberd        3281B0
Roaring Halberd        32A8C0
Old Knight Halberd        32CFD0
Old Knight Pike        32F6E0
Drakekeeper's Warpick        331DF0
Claws        340850
Malformed Claws        342F60
Manikin Claws        345670
Work Hook        347D80
Caestus        3567E0
Whip        36EE80
Notched Whip        371590
Bloodied Whip        373CA0
Spotted Whip        3763B0
Old Whip        37D8E0
Sorcerer's Staff        39FBC0
Staff of Amana        3A22D0
Witchtree Branch        3A49E0
Lizard Staff        3A70F0
Olenford's Staff        3ABF10
Archdrake Staff        3AE620
Bat Staff        3B0D30
Bone Staff        3B3440
Staff of Wisdom        3B5B50
Sunset Staff        3B8260
Cleric's Sacred Chime        3D3010
Witchtree Bellvine        3D5720
Priest's Chime        3D7E30
Dragon Chime        3DA540
Chime of Want        3DCC50
Archdrake Chime        3DF360
Idol's Chime        3E4180
Caitha's Chime        3E6890
Protective Chime        3E8FA0
Disc Chime        3EB6B0
Black Witch's Staff        3F52F0
Short Bow    Bow    401640
Long Bow    Bow    403D50
Composite Bow    Bow    406460
Sea Bow    Bow    408B70
Dragonrider Bow    Bow    40B280
Bell Keeper Bow    Bow    4127B0
Bow of Want    Bow    414EC0
Hunter's Blackbow    Bow    4175D0
Alonne Greatbow    Greatbow    432380
Dragonslayer Greatbow    Greatbow    4371A0
Light Crossbow    Crossbow    4630C0
Heavy Crossbow    Crossbow    4657D0
Avelyn    Crossbow    46A5F0
Shield Crossbow    Crossbow    471B20
Murakumo        4C4B40
Arced Sword        4C7250
Curved Dragon Greatsword        4CE780
Zweihander        4F5880
Greatsword        4F7F90
Smelter Sword        4FA6A0
Drakewing Ultra Greatsword        4FCDB0
King's Ultra Greatsword        4FF4C0
Pursuer's Ultra Greatsword        5069F0
Drakekeeper's Ultra Greatsword        507D78
Crypt Blacksword        509100
Old Knight Ultra Greatsword        50A488
Black Knight Ultra Greatsword        50B810
Lost Sinner's Sword        50CB98
Stone Twinblade        510630
Dragonrider Twinblade        515450
Twinblade        517B60
Red Iron Twinblade        51A270
Curved Twinblade        51C980
Pyromancy Flame    Flame    5265C0
Dark Pyromancy Flame    Flame    528CD0
Black Flamestone Dagger        53EC60
Yellow Quartz Longsword        541370
Bound Hand Axe        543A80
Homunculus Mace        546190
Transgressor's Staff        5488A0
 
Shields:

Name    Type    Hex ID    
Buckler    Small Shield    A7 D8 C0    
Benhart's Parma    Small Shield    A7 EC 48    
Small Leather Shield    Small Shield    A7 FF D0    
Iron Parma    Small Shield    A8 26 E0    
Foot Soldier Shield    Small Shield    A8 4D F0    
Target Shield    Small Shield    A8 75 00    
Golden Falcon Shield    Small Shield    A8 9C 10    
Manikin Shield    Small Shield    A8 EA 30    
Llevellyn Shield    Small Shield    A9 11 40    
Crimson Parma    Small Shield    A9 3C 38    
Cleric's Parma    Small Shield    A9 86 70    
Cleric's Small Shield    Small Shield    A9 AD 80    
Magic Shield    Small Shield    A9 D4 90    
Cursed Bone Shield    Small Shield    A9 FB A0    
Varangian Shield    Small Shield    AA 49 C0    
Watcher's Shield    Small Shield    AA AB 68    
Large Leather Shield    Small Shield    AA E6 00    
Blue Wooden Shield    Shield    AB 0D 10    
Silver Eagle Kite Shield    Shield    AB 34 20    
Drangleic Shield    Shield    AB 5B 30    
Lion Clan Shield    Shield    AB 82 40    
Archdrake Shield    Shield    AB A9 50    
King's Shield    Shield    AB D0 60    
Mirrah Shield    Shield    AB F7 70    
Old Knight's Shield    Shield    AC 1E 80    
Spirit Tree Shield    Shield    AC 6C A0    
Golden Wing Shield    Shield    AC 93 B0    
Shield of the Insolent    Shield    AC E1 D0    
Silverblack Shield    Shield    AD 2F F0    
Stone Parma    Shield    AD 57 00    
Grand Spirit Tree Shield    Shield    AD 7E 10    
Moon Butterfly Shield    Shield    AD A5 20    
Slumbering Dragon Shield    Shield    AD CC 30    
Chaos Shield    Shield    AD DF B8    
Wooden Shield    Shield    AD F3 40    
Hollow Soldier Shield    Shield    AE 41 60    
Royal Kite shield    Shield    AE 68 70    
Red Rust Shield    Shield    AE B6 90    
Bell Keeper Shield    Shield    AF 04 B0    
Defender's Shield    Shield    AF 18 38    
Black Dragon Shield    Shield    AF 2B C0    
Drakekeeper's Shield    Shield    AF 3F 48    
Porcine Shield    Shield    AF 52 D0    
Bone Shield    Shield    AF 66 58    
Twin Dragon Greatshield    Greatshield    AF 79 E0    
Tower Shield    Greatshield    AF A0 F0    
Orma's Greatshield    Greatshield    AF EF 10    
Reeve's Shield    Greatshield    B0 16 20    
King's Mirror    Greatshield    B0 3D 30    
Dragonrider Greatshield    Greatshield    B0 64 40    0
Mastodon Greatshield    Greatshield    B0 8B 50    1
Havel's Greatshield    Greatshield    B0 D9 70    2
Gyrm Greatshield    Greatshield    B1 00 80    3
Pursuer's Greatshield    Greatshield    B1 27 90    4
Pate's Shield    Greatshield    B1 4E A0    5
Old Knight Shield    Greatshield    B1 75 B0    6
Drakekeeper's Greatshield    Greatshield    B1 9C C0    7
 
Spells:

Soul Arrow    Sorcery    01D92CD0
Grat Soul Arrow    Sorcery    01D953E0
Heavy Soul Arrow    Sorcery    01D97AF0
Great Heavy Soul Arrow    Sorcery    01D9A200
Homing Soul Arrow    Sorcery    01D9C910
Heavy Homing Soul Arrow    Sorcery    01D9F020
Homing Soulmass    Sorcery    01DA1730
Homing Crystal Soulmass    Sorcery    01DA3E40
Soul Spear    Sorcery    01DA6550
Crystal Soul Spear    Sorcery    01DA8C60
Shockwave    Sorcery    01DAB370
Soul Spear Barrage    Sorcery    01DADA80
Soul Shower    Sorcery    01DB0190
Soul Greatsword    Sorcery    01DB28A0
Soul Vortex    Sorcery    01DB4FB0
Soul Bolt    Sorcery    01DB76C0
Soul Geyser    Sorcery    01DB9DD0
Magic Weapon    Sorcery    01DBC4E0
Great Magic Weapon    Sorcery    01DBEBF0
Crystal Magic Weapon    Sorcery    01DC1300
Strong Magic Shield    Sorcery    01DC3A10
Yearn    Sorcery    01DC6120
Hush    Sorcery    01DC8830
Fall Control    Sorcery    01DCAF40
Hidden Weapon    Sorcery    01DCD650
Repair    Sorcery    01DCFD60
Cast Light    Sorcery    01DD2470
Chameleon    Sorcery    01DD4B80
Unleash Magic    Sorcery    01DD7290
Heal    Miracle    01E86F10
Med Heal    Miracle    01E89620
Great Heal Excerpt    Miracle    01E8BD30
Great Heal    Miracle    01E8E440
Soothing Sunlight    Miracle    01E90B50
Replenishment    Miracle    01E93260
Resplendent Life    Miracle    01E95970
Bountiful Sunlight    Miracle    01E98080
Caressing Prayer    Miracle    01E9A790
Force    Miracle    01E9CEA0
Wrath Of The Gods    Miracle    01E9F5B0
Emit Force    Miracle    01EA1CC0
Heavenly Thunder    Miracle    01EA43D0
Lightning Spear    Miracle    01EA6AE0
Great Lightning Spear    Miracle    01EA91F0
Sunlight Spear    Miracle    01EAB900
Soul Appease    Miracle    01EAE010
Blinding Bolt    Miracle    01EB0720
Magic Barrier    Miracle    01EB2E30
Great Magic Barrier    Miracle    01EB5540
Homeward    Miracle    01EB7C50
Guidance    Miracle    01EBA360
Sacred Oath    Miracle    01EBCA70
Unveil    Miracle    01EBF180
Perseverance    Miracle    01EC1890
Sunlight Blade    Miracle    01EC3FA0
Fireball    Pyromancy    01F7B150
Fire Orb    Pyromancy    01F7D860
Great Fireball    Pyromancy    01F7FF70
Great Chaos Fireball    Pyromancy    01F82680
Firestorm    Pyromancy    01F84D90
Fire Tempest    Pyromancy    01F874A0
Chaos Storm    Pyromancy    01F89BB0
Combustion    Pyromancy    01F8C2C0
Great Combustion    Pyromancy    01F8E9D0
Fire Whip    Pyromancy    01F910E0
Poison Mist    Pyromancy    01F937F0
Toxic Mist    Pyromancy    01F95F00
Acid Surge    Pyromancy    01F98610
Lingering Flame    Pyromancy    01F9AD20
Flame Swathe    Pyromancy    01F9D430
Forbidden Sun    Pyromancy    01F9FB40
Flame Weapon    Pyromancy    01FA2250
Flash Sweat    Pyromancy    01FA4960
Iron Flesh    Pyromancy    01FA7070
Warmth    Pyromancy    01FA9780
Immolation    Pyromancy    01FABE90
Dark Orb    Hex    0206F390
Dark Hail    Hex    02071AA0
Dark Fog    Hex    020741B0
Affinity    Hex    020768C0
Dead Again    Hex    02078FD0
Dark Weapon    Hex    0207B6E0
Whisper Of Despair    Hex    0207DDF0
Repel    Hex    02080500
Twisted Barricade    Hex    02082C10
Numbness    Hex    02085320
Scraps Of Life    Hex    021635D0
Darkstorm    Hex    02165CE0
Resonant Soul    Hex    021683F0
Great Resonant Soul    Hex    0216AB00
Climax    Hex    0216D210
Resonant Flesh    Hex    0216F920
Resonant Weapon    Hex    02172030
Lifedrain Patch    Hex    02174740
Profound Still    Hex    02176E50
 
Armor:

Name    Type    Hex ID
Pate's Helm    Head    014096B4
Pate's Armor    Chest    014096B5
Pate's Gloves    Hands    014096B6
Pate's Trousers    Legs    014096B7
Thief Mask    Head    0140BDC4
Black Leather Armor    Chest    0140BDC5
Black Leather Gloves    Hands    0140BDC6
Black Leather Boots    Legs    0140BDC7
Wanderer Hood    Head    0140E4D4
Wanderer Coat    Chest    0140E4D5
Wanderer Manchettes    Hands    0140E4D6
Wanderer Boots    Legs    0140E4D7
Hunter's Hat    Head    01410BE4
Leather Armor    Chest    01410BE5
Leather Gloves    Hands    01410BE6
Leather Boots    Legs    01410BE7
Knight Helm    Head    014132F4
Knight Armor    Chest    014132F5
Knight Gauntlets    Hands    014132F6
Knight Leggings    Legs    014132F7
Elite Knight Helm    Head    01415A04
Elite Knight Armor    Chest    01415A05
Elite Knight Gloves    Hands    01415A06
Elite Knight Leggings    Legs    01415A07
Tattered Cloth Hood    Head    01418114
Tattered Cloth Robe    Chest    01418115
Tattered Cloth Manchettes    Hands    01418116
Heavy Boots    Legs    01418117
Brigand Hood    Head    0141A824
Brigand Armor    Chest    0141A825
Brigand Gauntlets    Hands    0141A826
Brigand Trousers    Legs    0141A827
Imported Hood    Head    0141F644
Imported Tunic    Chest    0141F645
Imported Manchettes    Hands    0141F646
Imported Trousers    Legs    0141F647
Traveling Merchant Hat    Head    01429284
Traveling Merchant Coat    Chest    01429285
Traveling Merchant Gloves    Hands    01429286
Traveling Merchant Boots    Legs    01429287
Havel's Helm    Head    0142E0A4
Havel's Armor    Chest    0142E0A5
Havel's Gauntlets    Hands    0142E0A6
Havel's Leggings    Legs    0142E0A7
Jester's Cap    Head    0143A3F4
Jester's Robe    Chest    0143A3F5
Jester's Gloves    Hands    0143A3F6
Jester Tights    Legs    0143A3F7
Moon Hat    Head    0143F214
Astrologist's Robe    Chest    0143F215
Astrologist's Gauntlets    Hands    0143F216
Astrologist's Bottoms    Legs    0143F217
Faraam Helm    Head    014551A4
Faraam Armor    Chest    014551A5
Faraam Gauntlets    Hands    014551A6
Faraam Boots    Legs    014551A7
Black Dragon Helm    Head    014578B4
Black Dragon Armor    Chest    014578B5
Black Dragon Gauntlets    Hands    014578B6
Black Dragon Leggings    Legs    014578B7
Xanthous Crown    Head    01459FC4
Xanthous Overcoat    Chest    01459FC5
Xanthous Gloves    Hands    01459FC6
Xanthous Waistcloth    Legs    01459FC7
Mask Of Judgement    Head    0145C6D4
Robe Of Judgement    Chest    0145C6D5
Manchettes Of Judgment    Hands    0145C6D6
Tights Of Judgement    Legs    0145C6D7
Helm Of Aurous    Head    0145EDE4
Armor Of Aurous    Chest    0145EDE5
Gauntlets Of Aurous    Hands    0145EDE6
Leggings Of Aurous    Legs    0145EDE7
Helm Of Aurous    Head    0145F1CC
Armour Of Aurous    Chest    0145F1CD
Gauntlets Of Aurous    Hands    0145F1CE
Leggings Of Aurous    Legs    0145F1CF
Monastery Headcloth    Head    014614F4
Monastery Longshirt    Chest    014614F5
Monastery Long Gloves    Hands    014614F6
Monastery Skirt    Legs    014614F7
Dingy Hood    Head    01466314
Dingy Robe    Chest    01466315
Dingy Cuffs    Hands    01466316
Blood-stained Skirt    Legs    01466317
Durgo's Hat    Head    0146FF54
Engraved Gauntlets    Hands    01472666
Flying Feline Boots    Legs    01477487
Moon Butterfly Hat    Head    01479B94
Moon Butterfly Wings    Chest    01479B95
Moon Butterfly Cuffs    Hands    01479B96
Moon Butterfly Skirt    Legs    01479B97
Catarina Helm    Head    0147C2A4
Catarina Armor    Chest    0147C2A5
Catarina Gauntlets    Hands    0147C2A6
Catarina Leggings    Legs    0147C2A7
Alva Helm    Head    0147E9B4
Alva Armor    Chest    0147E9B5
Alva Gauntlets    Hands    0147E9B6
Alva Leggings    Legs    0147E9B7
Black Witch Veil    Head    014810C4
Black Witch Robe    Chest    014810C5
Black Witch Gloves    Hands    014810C6
Black Witch Trousers    Legs    014810C7
Black Witch Hat    Head    014814AC
Black Witch Domino Mask    Head    01481894
Royal Soldier Helm    Head    015003EC
Royal Soldier Armor    Chest    015003ED
Royal Soldier Gauntlets    Hands    015003EE
Royal Soldier Leggings    Legs    015003EF
Hollow Infantry Helm    Head    01502714
Hollow Infantry Armor    Chest    01502715
Hollow Infantry Gloves    Hands    01502716
Hollow Infantry Boots    Legs    01502717
Infantry Helm    Head    01502AFC
Infantry Armor    Chest    01502AFD
Infantry Gloves    Hands    01502AFE
Infantry Boots    Legs    01502AFF
White Priest Headpiece    Head    01509C44
White Priest Robe    Chest    01509C45
White Priest Gloves    Hands    01509C46
White Priest Skirt    Legs    01509C47
Priestess Headpiece    Head    0150A414
Priestess Robe    Chest    0150A415
Priestess Gloves    Hands    0150A416
Priestess Skirt    Legs    0150A417
Rogue Hood    Head    0150EA64
Rogue Armor    Chest    0150EA65
Rogue Gauntlets    Hands    0150EA66
Rogue Leggings    Legs    0150EA67
Spiked Bandit Helm    Head    01515F94
Bandit Armor    Chest    01515F95
Bandit Gauntlets    Hands    01515F96
Bandit Boots    Legs    01515F97
Varangian Helm    Head    0151ADB4
Varangian Armor    Chest    0151ADB5
Varangian Cuffs    Hands    0151ADB6
Varangian Leggings    Legs    0151ADB7
Black Hollow Mage Hood    Head    01527104
Black Hollow Mage Robe    Chest    01527105
White Hollow Mage Hood    Head    015278D4
White Hollow Mage Robe    Chest    015278D5
Lion Mage Robe    Chest    01529815
Lion Mage Cuffs    Head    01529816
Lion Mage Skirt    Chest    01529817
Steel Helm    Head    01530D44
Steel Armor    Chest    01530D45
Steel Gauntlets    Hands    01530D46
Steel Leggings    Legs    01530D47
Shadow Mask    Head    01533454
Shadow Top    Chest    01533455
Shadow Gauntlets    Hands    01533456
Shadow Leggings    Legs    01533457
Manikin Mask    Head    01535B64
Manikin Top    Chest    01535B65
Manikin Gloves    Hands    01535B66
Manikin Boots    Legs    01535B67
Prisoner's Hood    Head    0153D094
Prisoner's Tatters    Chest    0153D095
Prisoner's Gloves    Hands    0153D096
Prisoner's Waistcloth    Legs    0153D097
Prisoner's Hood    Head    0153D47C
Prisoner's Tatters    Chest    0153D47D
Archdrake Helm    Head    01546CD4
Archdrake Robes    Chest    01546CD5
Archdrake Gloves    Hands    01546CD6
Archdrake Boots    Legs    01546CD7
Gyrm Helm    Head    0154E204
Gyrm Armor    Chest    0154E205
Gyrm Gloves    Hands    0154E206
Gyrm Boots    Legs    0154E207
Gyrm Warrior Helm    Head    01550914
Gyrm Warrior Armor    Chest    01550915
Gyrm Warrior Gloves    Hands    01550916
Gyrm Warrior Boots    Legs    01550917
Gyrm Warrior Greathelm    Head    01550CFC
Dark Mask    Head    01553024
Dark Armor    Chest    01553025
Dark Gauntlets    Hands    01553026
Dark Leggings    Legs    01553027
Warlock Mask    Head    01555734
Tseldora Cap    Head    0156B6C4
Tseldora Robe    Chest    0156B6C5
Tseldora Manchettes    Hands    0156B6C6
Tseldora Trousers    Legs    0156B6C7
Peasant Hat    Head    015704E4
Peasant Attire    Chest    015704E5
Peasant Long Gloves    Hands    015704E6
Peasant Trousers    Legs    015704E7
Ironclad Helm    Head    01577A14
Ironclad Armor    Chest    01577A15
Ironclad Gauntlets    Hands    01577A16
Ironclad Leggings    Legs    01577A17
Old Ironclad Helm    Head    015781E4
Old Ironclad Armor    Chest    015781E5
Old Ironclad Gauntlets    Hands    015781E6
Old Ironclad Leggings    Legs    015781E7
Royal Swordsman Helm    Head    0157A124
Royal Swordsman Armor    Chest    0157A125
Royal Swordsman Gloves    Hands    0157A126
Royal Swordsman Leggings    Legs    0157A127
Syan's Helm    Head    0157C834
Syan's Armor    Chest    0157C835
Syan's Gloves    Hands    0157C836
Syan's Leggings    Legs    0157C837
Bone Crown    Head    0157EF44
Bone King Robe    Chest    0157EF45
Bone King Cuffs    Hands    0157EF46
Bone King Skirt    Legs    0157EF47
Heide Knight Greathelm    Head    015F1B34
Heide Knight Chainmail    Chest    015F1B35
Heide Knight Gauntlets    Hands    015F1B36
Heide Knight Leggings    Legs    015F1B37
Heide Knight Iron Mask    Head    015F1F1C
Singer's Dress    Chest    015F9065
????    ????    015F944D
????    ????    015F9835
Smelter Demon Helm    Head    015FB774
Smelter Demon Armor    Chest    015FB775
Smelter Demon Gauntlets    Hands    015FB776
Smelter Demon Leggings    Legs    015FB777
Alonne Captain Helm    Head    015FDE84
Alonne Captain Armor    Chest    015FDE85
Alonne Knight Helm    Head    015FE26C
Alone Knight Armor    Chest    015FE26D
Alonne Knight Gauntlets    Hands    015FE26E
Alonne Knight Leggings    Legs    015FE26F
Vengarl's Helm    Head    01600594
Vengarl's Armor    Chest    01600595
Vengarl's Gloves    Hands    01600596
Vengarl's Boots    Legs    01600597
Lion Warrior Cape    Chest    01602CA5
Lion Warrior Cuffs    Hands    01602CA6
Lion Warrior Skirt    Legs    01602CA7
Lion Warrior Helm    Head    0160308C
Red Lion Warrior Cape    Chest    0160308D
Grave Warden Mask    Head    0160C8E4
Grave Warden Top    Chest    0160C8E5
Grave Warden Cuffs    Hands    0160C8E6
Grave Warden Bottoms    Legs    0160C8E7
Falconer Helm    Head    0160EFF4
Falconer Armor    Chest    0160EFF5
Falconer Gloves    Hands    0160EFF6
Falconer Boots    Legs    0160EFF7
Rusted Mastodon Helm    Head    01611704
Rusted Mastodon Armor    Chest    01611705
Rusted Mastodon Gauntlets    Hands    01611706
Rusted Mastodon Leggings    Legs    01611707
Mastodon Helm    Head    01613E14
Mastodon Armor    Chest    01613E15
Mastodon Gauntlets    Hands    01613E16
Mastodon Leggings    Legs    01613E17
Desert Sorceress Hood    Head    01616524
Desert Sorceress Top    Chest    01616525
Desert Sorceress Gloves    Hands    01616526
Desert Sorceress Skirt    Legs    01616527
Dragon Acolyte Mask    Head    01618C34
Dragon Acolyte Robe    Chest    01618C35
Dragon Acolyte Gloves    Hands    01618C36
